Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
4930451G09Rik,53.280721539496675,0.25852164457324406,0.7224059053050934,0.3578620311306325,0.7204465662519586,0.8049670657190682,FALSE
Coa7,218.7284727892677,0.2582467992467553,0.2539810400158477,1.0167955813971052,0.30925068456368077,0.4336203127180315,FALSE
Olfr920,20.330698585795307,0.25820683589070764,1.102982753967853,0.23409870640482672,0.8149083501736532,0.8765702178694141,FALSE
Dhx34,393.1899784755032,0.2581789240555236,0.42325171715399573,0.6099890764568071,0.54186904366585,0.6566305874062667,FALSE
Nvl,623.7643936882031,0.25806475192964257,0.21041030168331523,1.2264834462242784,0.2200168009915488,0.336536276296795,FALSE
Vamp1,134.38278747328334,0.2577340625415434,0.44609135431172636,0.577760721095348,0.5634256774612094,0.6747476863144322,FALSE
Washc4,567.0242497105381,0.25762127062668594,0.34177411289381976,0.7537764298337074,0.45098347932998895,0.5742899781309655,FALSE
Tapbpl,702.5823499326451,0.25714937991224124,0.24408354522537615,1.0535301741655738,0.2920980724740813,0.41514785313348596,FALSE
Mtx3,117.12937560626688,0.2569148847522436,0.40544242715171275,0.6336655158590704,0.5262991343089349,0.64329522526491,FALSE
Gm14319,2.376800590842977,0.2567631431712966,2.1240894157505656,0.1208815133992686,0.9037848849538478,NA,NA
Kcnip3,28.289742411400347,0.25672411165699544,0.6371486396524813,0.4029265632537801,0.6870022493012535,0.7785222407938935,FALSE
Slc25a35,554.2583144099758,0.2565847420737895,0.5308378011517652,0.4833580832357351,0.6288415052698529,0.7307400986717938,FALSE
Plekhn1,526.7514688753889,0.2564095751904427,0.4182653964309548,0.6130308110075025,0.5398559672060363,0.6547254332775808,FALSE
Cnpy3,1410.2191524581988,0.2553620756212078,0.24185435599798732,1.0558506360883277,0.2910364599325917,0.4140352880618042,FALSE
Dcp2,640.5125192578688,0.25507103760969896,0.3421169628937731,0.7455667659744138,0.4559291651487184,0.5789076909494876,FALSE
Fam234b,295.52884751894123,0.2550456913588626,0.3593871566250033,0.7096683525198589,0.477909821815935,0.5991330028025602,FALSE
Zbtb38,864.5416751372228,0.25482035607030484,0.39760746905694994,0.640884228545029,0.521597903422354,0.6389648788354937,FALSE
H1f0,4157.105185564816,0.25476060349939517,0.25630584466004275,0.9939711044720921,0.32023693529802477,0.4454015876029084,FALSE
Bag5,645.1015167940303,0.2546556215086044,0.18044655514606656,1.411252330655288,0.15817022484230112,0.26252911964410824,FALSE
Mdm2,1606.643164577536,0.254570342756284,0.28077478424463514,0.906670958509153,0.3645808254043063,0.4903325090170081,FALSE
Errfi1,3146.803215703226,0.2542987712772754,0.48996723980264634,0.5190117840933698,0.6037525236713368,0.7099185326760359,FALSE
Mettl3,333.3745931932338,0.25425550786192147,0.2524832474340721,1.0070193188889183,0.31392549051107244,0.4386517087379543,FALSE
Sdcbp,8140.700892713406,0.2539873324531098,0.23038344329756363,1.102454798043188,0.27026399953306957,0.3924372933320082,FALSE
Pglyrp2,25.41721958046716,0.25396653983569856,1.1235617895643724,0.22603700321115985,0.8211726406024888,0.8812461963884066,FALSE
Gm5837,5.2909345889481045,0.25390195413181194,1.199850163327317,0.21161138439795996,0.8324102269994756,0.8893819970597223,FALSE
Hsdl1,736.3395561689637,0.2537630268668131,0.2680253974104482,0.9467872422485621,0.3437472039770598,0.46934293604760874,FALSE
Pds5b,519.4745322023891,0.2537102128244449,0.32821953080431493,0.7729893836686622,0.43952866360343507,0.5632327149594633,FALSE
Gm9920,22.06950774013125,0.2536466977069149,0.8370378542968903,0.30302894475421005,0.7618678033021674,0.8373865829394411,FALSE
Gpi-ps,31.579234640909373,0.25358166448631986,0.5761617408468295,0.44012235889458967,0.6598484888591376,0.7560315198187223,FALSE
